Label,1972,1973,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2021
White,1348,1308,1304,1323,1361,1339,1358,1318,1323,1416,1251,1338,1249,1222,1234,1319,1150,1264,1347,2483,2349,2241,2213,2188,2234,3284,1559,1550,1477,1890,2100,1693,3110
Black,261,183,173,163,129,176,158,140,510,165,170,152,184,544,186,157,159,204,179,388,402,400,429,410,377,634,281,311,301,386,490,385,463
Other,4,13,7,4,9,15,16,10,27,18,52,44,37,53,61,61,63,49,80,121,153,191,175,167,201,592,183,183,196,262,277,270,405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
